fert	block	yield
12.9	A	288.1451
11.8	A	315.3213
13.7	A	300.7786
11.1	A	300.2929
14.7	A	288.7639
15.2	A	301.9381
13.1	A	298.257
16.2	A	290.0983
17	A	321.1159
18.6	A	321.3594
17.9	A	315.9608
19.8	A	296.8397
20	A	317.9844
22.3	A	295.7353
23.9	A	313.6707
26.7	A	340.7384
13.5	B	326.27858
11.1	B	349.14388
13.7	B	333.58977
11.9	B	336.19553
14.3	B	350.76507
15.3	B	318.27983
13.1	B	315.5337
16.5	B	310.45311
17.8	B	371.22483
18.7	B	349.40026
18.4	B	362.47885
20	B	340.17831
21.3	B	341.54085
22.9	B	327.94225
23.1	B	370.3722
27	B	376.70278
