HD	Variety	Season	Year
115	M	DS	Y2014
118	M	DS	Y2014
117	M	DS	Y2014
117	S	DS	Y2014
116	S	DS	Y2014
116	S	DS	Y2014
124	Y	DS	Y2014
125	Y	DS	Y2014
122	Y	DS	Y2014
113	M	DS	Y2015
115	M	DS	Y2015
112	M	DS	Y2015
117	S	DS	Y2015
116	S	DS	Y2015
117	S	DS	Y2015
115	Y	DS	Y2015
117	Y	DS	Y2015
114	Y	DS	Y2015
95	M	MS	Y2015
96	M	MS	Y2015
94	M	MS	Y2015
98	S	MS	Y2015
97	S	MS	Y2015
98	S	MS	Y2015
110	Y	MS	Y2015
108	Y	MS	Y2015
108	Y	MS	Y2015
93	M	MS	Y2016
93	M	MS	Y2016
95	M	MS	Y2016
91	S	MS	Y2016
93	S	MS	Y2016
93	S	MS	Y2016
105	Y	MS	Y2016
107	Y	MS	Y2016
107	Y	MS	Y2016
