year	plot	dens	fert	block	pn	gn	gw	gy
2000	2	1	1	1	187.2	95.6	26.40 	307.8
2000	21	1	1	2	194.4	136.2	24.98 	384.9
2000	8	1	2	1	216	118.5	25.42 	446.6
2000	19	1	2	2	255.6	117.3	25.63 	464.5
2000	6	1	3	1	306	93.3	26.00 	565.2
2000	15	1	3	2	331.2	100.4	25.60 	532.7
2000	7	2	1	1	190.4	89.1	26.74 	387.1
2000	18	2	1	2	196	90.2	26.13 	422.9
2000	1	2	2	1	263.2	101.9	25.70 	395
2000	20	2	2	2	268.8	93	25.84 	503.7
2000	5	2	3	1	296.8	72.4	26.32 	447.3
2000	16	2	3	2	285.6	96.2	26.46 	676.3
1999	2	1	1	1	211.5	103.2	26.20 	382.2
1999	14	1	1	2	202.5	101.2	25.85 	371.6
1999	1	1	2	1	211.5	95.7	26.65 	404.6
1999	20	1	2	2	193.5	92.8	27.12 	356.1
1999	5	1	3	1	234	90	29.75 	418.9
1999	19	1	3	2	252	99.9	26.60 	463.8
1999	4	2	1	1	224	87.5	25.32 	335.7
1999	13	2	1	2	232.4	84.7	29.19 	391.8
1999	10	2	2	1	259	99	20.84 	364.6
1999	16	2	2	2	266	95.7	23.94 	455.1
1999	3	2	3	1	245	89.3	26.07 	400.8
1999	24	2	3	2	224	76.6	27.54 	344.6
1997	3	1	1	1	263.6	116.9	24.36 	469.3
1997	20	1	1	2	217.4	128.6	25.52 	452.4
1997	4	1	2	1	285	129.6	25.01 	577.2
1997	16	1	2	2	226.6	145.6	26.15 	502.4
1997	12	1	3	1	351.5	100.2	24.39 	414.6
1997	19	1	3	2	319.1	105.2	24.19 	397.3
1997	1	2	1	1	264.1	116.8	25.18 	440.3
1997	14	2	1	2	298.9	115.6	24.10 	434.3
1997	7	2	2	1	285	120	24.15 	553.1
1997	22	2	2	2	298.9	127.3	22.59 	441.4
1997	5	2	3	1	314.5	109	24.68 	476.3
1997	13	2	3	2	354.5	112.9	22.86 	474
1996	8	1	1	1	193.5	91.9	26.35 	342.1
1996	18	1	1	2	198	101.9	26.17 	395.7
1996	10	1	2	1	225	111.1	26.62 	492.2
1996	19	1	2	2	220	98.6	26.83 	426.1
1996	4	1	3	1	193.5	123.3	26.35 	314.1
1996	24	1	3	2	337.5	85.6	26.18 	453.6
1996	1	2	1	1	224	79.4	26.37 	376.2
1996	23	2	1	2	287	88.2	25.22 	185.5
1996	9	2	2	1	280	84.2	26.45 	504.6
1996	17	2	2	2	273	104	26.81 	567.8
1996	2	2	3	1	210	98.4	26.22 	381.6
1996	14	2	3	2	301	85.2	25.65 	453.2

