year	plot	dens	fert	block	pn	gn	gw	gy
2000	2	A	A	A	187.2	95.6	26.4	307.8
2000	21	A	A	B	194.4	136.2	24.98	384.9
2000	8	A	B	A	216	118.5	25.42	446.6
2000	19	A	B	B	255.6	117.3	25.63	464.5
2000	6	A	C	A	306	93.3	26	565.2
2000	15	A	C	B	331.2	100.4	25.6	532.7
2000	7	B	A	A	190.4	89.1	26.74	387.1
2000	18	B	A	B	196	90.2	26.13	422.9
2000	1	B	B	A	263.2	101.9	25.7	395
2000	20	B	B	B	268.8	93	25.84	503.7
2000	5	B	C	A	296.8	72.4	26.32	447.3
2000	16	B	C	B	285.6	96.2	26.46	676.3
1999	2	A	A	A	211.5	103.2	26.2	382.2
1999	14	A	A	B	202.5	101.2	25.85	371.6
1999	1	A	B	A	211.5	95.7	26.65	404.6
1999	20	A	B	B	193.5	92.8	27.12	356.1
1999	5	A	C	A	234	90	29.75	418.9
1999	19	A	C	B	252	99.9	26.6	463.8
1999	4	B	A	A	224	87.5	25.32	335.7
1999	13	B	A	B	232.4	84.7	29.19	391.8
1999	10	B	B	A	259	99	20.84	364.6
1999	16	B	B	B	266	95.7	23.94	455.1
1999	3	B	C	A	245	89.3	26.07	400.8
1999	24	B	C	B	224	76.6	27.54	344.6
1997	3	A	A	A	263.6	116.9	24.36	469.3
1997	20	A	A	B	217.4	128.6	25.52	452.4
1997	4	A	B	A	285	129.6	25.01	577.2
1997	16	A	B	B	226.6	145.6	26.15	502.4
1997	12	A	C	A	351.5	100.2	24.39	414.6
1997	19	A	C	B	319.1	105.2	24.19	397.3
1997	1	B	A	A	264.1	116.8	25.18	440.3
1997	14	B	A	B	298.9	115.6	24.1	434.3
1997	7	B	B	A	285	120	24.15	553.1
1997	22	B	B	B	298.9	127.3	22.59	441.4
1997	5	B	C	A	314.5	109	24.68	476.3
1997	13	B	C	B	354.5	112.9	22.86	474
1996	8	A	A	A	193.5	91.9	26.35	342.1
1996	18	A	A	B	198	101.9	26.17	395.7
1996	10	A	B	A	225	111.1	26.62	492.2
1996	19	A	B	B	220	98.6	26.83	426.1
1996	4	A	C	A	193.5	123.3	26.35	314.1
1996	24	A	C	B	337.5	85.6	26.18	453.6
1996	1	B	A	A	224	79.4	26.37	376.2
1996	23	B	A	B	287	88.2	25.22	185.5
1996	9	B	B	A	280	84.2	26.45	504.6
1996	17	B	B	B	273	104	26.81	567.8
1996	2	B	C	A	210	98.4	26.22	381.6
1996	14	B	C	B	301	85.2	25.65	453.2
